SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1543.00,1558.60,1457.65,1484.85,1484.85,1543.35,1257,14648,21942552.00,
500003,AEGIS LOGIS ,A ,Q,206.25,212.75,206.25,211.45,211.45,209.05,346,7380,1555933.00,
500008,AMAR RAJA BA,A ,Q,635.95,639.45,632.20,635.75,635.75,644.60,371,14313,9109442.00,
500009,A.SARABHAI  ,X ,Q,13.60,13.80,12.40,12.99,12.99,13.00,50,12199,157875.00,
500010,HDFC        ,A ,Q,2278.00,2278.00,2244.00,2261.05,2261.05,2278.65,4020,145017,328893762.00,
500012,ANDHRA PETRO,X ,Q,52.85,52.85,50.05,50.90,51.00,52.85,231,34269,1753237.00,
500013,ANSAL INFRAS,B ,Q,5.65,5.65,5.32,5.32,5.32,5.60,40,3738,20157.00,
500014,APPLE FINANC,XT,Q,1.41,1.41,1.41,1.41,1.41,1.41,2,22,31.00,
500016,ARUNAHTEL   ,XT,Q,5.62,5.62,5.62,5.62,5.62,5.36,3,300,1686.00,
500020,BOM DYEING  ,A ,Q,105.00,106.25,100.30,101.25,101.25,106.65,2099,242477,24654910.00,
500023,ASIANHOTNR  ,B ,Q,124.10,126.10,124.00,124.00,124.00,124.00,5,48,5974.00,
500024,ASSAMCO     ,T ,Q,1.52,1.52,1.43,1.51,1.52,1.45,74,115940,175489.00,
500027,ATUL LTD.   ,A ,Q,3926.00,3974.00,3852.00,3912.35,3912.35,3972.95,401,1058,4112404.00,
500028,ATV PROJECTS,XT,Q,3.61,3.61,3.61,3.61,3.61,3.80,2,300,1083.00,
500029,AUTOLITE(I) ,Z ,Q,26.25,26.25,24.95,24.95,24.95,26.25,2,106,2652.00,
500031,BAJAJ ELECT.,A ,Q,513.50,523.10,501.10,504.20,504.20,514.10,474,6271,3206275.00,
500032,BAJAJHIND   ,B ,Q,7.50,7.50,7.20,7.27,7.30,7.57,171,120767,882106.00,
500033,FORCE MOTR  ,A ,Q,1365.00,1365.00,1321.15,1335.90,1335.90,1381.35,1304,9308,12488174.00,
500034,BAJFINANCE  ,A ,Q,3730.00,3730.75,3377.30,3414.75,3414.75,3719.00,17850,254762,884046406.00,
500038,BALRAM.CHINI,A ,Q,148.90,156.00,146.25,155.00,155.00,150.70,1744,115811,17717184.00,
500039,BANCO PROD. ,B ,Q,120.00,120.00,115.80,117.40,116.05,120.80,144,4249,500468.00,
500040,CENTURY TEXT,A ,Q,925.00,925.00,895.30,899.20,899.05,932.70,2256,56663,51271964.00,
500041,BANNARI AMAN,B ,Q,1519.00,1519.00,1405.10,1473.80,1492.00,1469.15,26,30,44090.00,
500042,BASF INDIA  ,A ,Q,1285.00,1285.00,1220.00,1252.00,1246.00,1284.85,220,971,1200330.00,
500043,BATA INDIA  ,A ,Q,1438.00,1440.00,1407.20,1424.70,1433.00,1449.30,902,28212,40084619.00,
500048,BEML LTD    ,A ,Q,905.45,915.00,871.10,896.60,896.60,906.80,1162,46869,41465045.00,
500049,BHARAT ELECT,A ,Q,108.45,109.70,100.80,101.25,101.25,108.45,3678,891697,92831003.00,
500052,BHANSALI ENG,B ,Q,63.60,63.90,62.30,62.90,62.90,63.75,831,104349,6584137.00,
500055,TATASTLBSL  ,B ,Q,28.25,29.05,28.05,28.65,28.90,29.20,321,124273,3563955.00,
500058,BIHAR SPONGE,XT,Q,0.86,0.86,0.86,0.86,0.86,0.90,1,550,473.00,
500059,BINANI IND. ,Z ,Q,15.75,15.79,14.55,15.73,15.73,15.04,112,20110,311592.00,
500060,BIRLACABLE  ,B ,Q,88.65,88.95,85.40,85.90,85.80,90.20,88,3564,311802.00,
500067,BLUE STAR   ,A ,Q,753.00,765.00,738.00,753.60,750.50,748.75,178,1084,810692.00,
500068,DISA INDIA  ,X ,Q,5200.05,5480.00,5200.00,5301.00,5301.00,5405.00,30,191,1032405.00,
500069,BNK CAPITAL ,X ,Q,87.00,87.00,86.25,86.25,86.25,87.40,5,3541,305786.00,
500074,BPL LTD.    ,B ,Q,21.90,21.90,20.25,20.45,20.60,21.80,113,20382,421369.00,
500078,OAL         ,X ,Q,203.45,206.15,200.00,202.25,204.00,208.40,41,2349,475343.00,
500083,CENTURY EXT ,B ,Q,3.86,3.87,3.49,3.63,3.60,3.98,34,24997,90237.00,
500084,CESC LTD.   ,A ,Q,769.90,776.65,760.00,768.60,772.65,768.55,350,7170,5519530.00,
500085,CHAMBAL FERT,A ,Q,178.35,178.35,170.95,171.50,171.00,181.35,756,34472,5957174.00,
500086,EXIDE IND.  ,A ,Q,203.40,203.40,197.50,199.15,199.15,202.80,892,52986,10580934.00,
500087,CIPLA LTD.  ,A ,Q,550.00,550.00,534.90,538.75,538.75,549.95,821,44878,24276548.00,
500089,DIC INDIA   ,B ,Q,315.05,320.00,315.05,319.15,315.10,321.45,29,85,27001.00,
500092,CRISIL LTD  ,A ,Q,1464.75,1464.75,1421.00,1432.65,1445.50,1428.75,61,232,332004.00,
500093,CGPOWER     ,A ,Q,25.00,25.00,22.90,23.10,23.10,25.20,801,231554,5479453.00,
500096,DABUR (I)   ,A ,Q,407.20,408.80,400.10,401.30,401.25,407.00,2130,474233,192021903.00,
500097,DALMIASUG   ,B ,Q,102.30,102.30,98.40,99.40,99.40,104.35,185,9910,998225.00,
500101,ARVIND Ltd  ,A ,Q,66.15,66.35,61.95,62.60,63.10,66.20,1091,406714,25952018.00,
500102,BALARPUR IND,B ,Q,1.84,1.86,1.68,1.68,1.68,1.86,129,284316,480636.00,
500103,BHEL        ,A ,Q,70.25,70.30,66.65,67.30,67.30,70.15,4538,874560,59466031.00,
500104,HIND.PETRO  ,A ,Q,284.10,284.85,276.50,283.15,283.15,287.50,3186,342150,96212838.00,
500106,IFCI LTD    ,A ,Q,9.06,9.06,8.65,8.69,8.69,9.06,114855,381842,3333770.00,
500108,MAHA.TELE   ,B ,Q,8.30,8.41,7.94,8.04,8.04,8.36,574,413008,3358634.00,
500109,MRPL        ,A ,Q,58.85,59.90,58.00,58.90,59.40,59.60,398,217017,12708649.00,
500110,CHENNAI PET.,A ,Q,202.60,204.00,192.00,192.90,192.90,205.15,2008,212358,41331769.00,
500111,REL.CAP.    ,A ,Q,62.00,63.85,60.20,60.95,60.95,62.05,7027,1974321,122084367.00,
500112,STATE BANK  ,A ,Q,368.90,368.90,353.55,355.25,355.25,370.60,12106,901026,323171461.00,
500113,STEEL AUTH. ,A ,Q,48.95,48.95,46.15,46.40,46.40,48.40,3152,2125183,100409256.00,
500114,TITAN       ,A ,Q,1268.00,1271.30,1246.25,1252.65,1252.65,1277.75,3648,147800,185751875.00,
500116,IDBI BANK L ,A ,Q,35.80,35.80,33.95,34.30,34.30,35.95,1180,509593,17640547.00,
500117,DCW LTD.    ,B ,Q,15.70,16.95,15.60,16.65,16.75,16.35,261,46038,745981.00,
500119,DHAMPUR SUGA,B ,Q,193.00,193.55,186.25,187.05,187.05,196.00,687,32270,6141325.00,
500120,DIAMINES&CHM,X ,Q,126.00,132.00,124.00,127.50,127.50,133.65,38,1892,242552.00,
500123,ELANTAS     ,B ,Q,2075.00,2079.00,2048.00,2048.00,2048.00,2071.00,17,97,199315.00,
500124,DR.REDDY'S  ,A ,Q,2570.00,2617.45,2561.00,2595.75,2595.00,2600.95,843,15462,40052559.00,
500125,E.I.D.PAR   ,A ,Q,172.00,175.00,166.30,169.50,169.50,175.50,507,14854,2510632.00,
500126,PGHL        ,A ,Q,4173.00,4188.00,4006.80,4072.40,4100.00,4215.40,484,5395,21940688.00,
500128,ELEC.CASTING,B ,Q,17.80,17.80,16.25,16.30,16.30,17.15,87,15352,254307.00,
500132,EMPEE SUGARS,Z ,Q,0.69,0.69,0.69,0.69,0.69,0.69,1,200,138.00,
500133,ESAB INDIA  ,B ,Q,1113.60,1113.60,1050.00,1056.55,1056.55,1140.10,93,682,732031.00,
500135,ESSEL PROP  ,B ,Q,132.00,132.00,130.00,130.15,130.05,130.55,50,3081,401117.00,
500136,ESTER INDUS.,B ,Q,29.75,29.80,28.00,28.95,28.50,30.15,366,29472,857353.00,
500141,FERRO ALLOYS,X ,Q,3.04,3.15,2.85,3.08,3.00,3.10,80,42977,130496.00,
500143,P.H.CAPITAL ,X ,Q,10.82,10.82,10.82,10.82,10.82,11.38,1,100,1082.00,
500144,FINOL. CABLE,A ,Q,406.75,408.00,395.00,400.30,400.00,408.90,790,4407,1758047.00,
500147,CMI FPE     ,X ,Q,1035.05,1110.00,1035.05,1110.00,1110.00,1085.55,4,26,27280.00,
500148,UFLEX LTD   ,A ,Q,236.20,242.00,232.00,233.80,233.75,240.25,336,9743,2304351.00,
500150,FOSECO INDIA,B ,Q,1264.00,1264.00,1240.00,1240.00,1240.00,1263.80,14,96,119477.00,
500151,GOLDEN TOB  ,B ,Q,30.35,32.30,30.35,31.95,32.00,31.35,11,1457,44830.00,
500153,GANESH BENZO,X ,Q,38.10,38.10,36.50,36.95,37.25,38.10,117,17923,659994.00,
500155,GARDEN SILK ,B ,Q,14.00,14.00,13.10,13.48,13.45,14.14,36,3584,48892.00,
500159,METROGLOBL  ,X ,Q,68.00,68.00,57.00,57.00,57.00,59.35,8,159,9547.00,
500160,GTL LTD.    ,B ,Q,2.65,2.70,2.57,2.58,2.58,2.70,15,10937,28313.00,
500163,GODFREY PH  ,A ,Q,813.45,817.75,790.00,794.15,794.15,819.30,177,3602,2883029.00,
500164,GODREJ IND  ,A ,Q,480.65,493.00,475.00,484.15,484.00,482.85,249,6423,3112603.00,
500165,KANSAI NERO ,A ,Q,428.70,429.60,414.00,418.60,422.50,437.45,517,7592,3191994.00,
500166,GOODRICKE   ,X ,Q,188.20,199.10,182.30,188.25,189.40,190.10,64,3394,639602.00,
500168,GOODYEAR (I),B ,Q,954.00,954.00,935.10,940.10,942.90,953.00,130,3081,2918845.00,
500170,GTN INDUS   ,B ,Q,7.40,7.55,7.15,7.50,7.50,7.77,5,162,1211.00,
500171,GHCL LTD    ,A ,Q,235.00,235.55,224.90,227.75,227.90,236.35,358,12452,2844651.00,
500173,GUJ.FLOURO  ,A ,Q,893.10,907.15,888.40,901.60,901.60,904.10,246,2299,2061091.00,
500179,HCL INFOSYS ,B ,Q,12.08,12.45,11.64,12.16,12.06,12.16,318,91223,1099464.00,
500180,HDFC BANK   ,A ,Q,2472.40,2472.40,2397.75,2407.85,2414.00,2475.40,6711,381979,927699485.00,
500182,HEROMOTOCO  ,A ,Q,2513.00,2513.00,2360.00,2380.20,2380.20,2513.60,7067,74120,178043712.00,
500183,HIMACHAL FUT,A ,Q,19.50,20.20,19.45,19.55,19.55,19.75,512,355132,6997422.00,
500184,HSCL        ,A ,Q,103.45,103.45,99.80,100.40,100.20,103.45,355,29441,2960433.00,
500185,HIND.CONSTN.,A ,Q,11.60,11.60,11.06,11.15,11.15,11.50,601,224988,2507559.00,
500186,HIND.OIL EXP,B ,Q,126.65,127.80,124.35,125.60,124.85,126.35,370,22517,2825191.00,
500187,HSIL        ,B ,Q,242.00,249.50,239.85,245.95,245.95,249.40,298,6075,1472043.00,
500188,HINDUS.ZI   ,A ,Q,234.70,234.70,228.70,229.30,229.30,234.70,701,20373,4687667.00,
500189,HINDUJA VENT,B ,Q,332.00,332.20,326.00,326.05,326.20,337.05,23,99,32584.00,
500191,HMT LTD.    ,Z ,Q,15.40,16.00,15.30,15.95,15.95,15.60,6,404,6272.00,
500192,PRAG BOSIMI ,XT,Q,2.78,2.78,2.78,2.78,2.78,2.81,1,5000,13900.00,
500193,HOTEL LEELA.,B ,Q,8.92,9.05,8.32,8.55,8.55,8.75,60,15023,130559.00,
500199,I.G.PETRO   ,B ,Q,251.00,251.00,240.00,240.45,241.00,250.75,49,556,134253.00,
500201,IND.GLYCOLS ,B ,Q,226.00,228.00,222.15,224.55,224.55,228.75,228,6337,1423741.00,
500207,INDO RAMA   ,B ,Q,26.00,26.00,24.75,25.00,24.75,26.40,28,1758,44982.00,
500209,INFOSYS LTD ,A ,Q,717.00,724.10,712.60,717.45,717.45,718.25,4195,301869,216358203.00,
500210,INGERSOLL   ,B ,Q,618.35,618.70,600.00,613.95,614.00,622.00,204,2239,1361606.00,
500211,INSILCO LTD.,X ,Q,16.60,16.60,14.70,15.40,15.40,15.30,23,1832,27838.00,
500212,INTEG.FIN.SE,XT,Q,32.00,32.00,32.00,32.00,32.00,30.60,1,50,1600.00,
500213,INTER.TRAVEL,X ,Q,99.05,99.95,96.60,97.00,97.00,99.95,51,2209,215846.00,
500214,ION EXCHANGE,X ,Q,645.00,645.00,616.75,616.75,616.75,649.20,624,19488,12171958.00,
500215,AGRO TECH FO,B ,Q,503.80,504.20,493.10,494.95,494.60,501.60,20,124,61815.00,XD
500219,JAIN IRRIG  ,A ,Q,25.80,25.80,23.35,23.60,23.60,25.80,1813,572762,13825534.00,
500220,JASCH INDUST,X ,Q,48.00,48.35,46.70,47.00,47.00,49.20,11,509,24159.00,
500223,JCT LTD     ,X ,Q,1.15,1.18,1.04,1.16,1.18,1.11,65,143088,157984.00,
500227,JINDAL POLYF,B ,Q,257.35,257.80,244.15,246.15,244.15,259.40,117,1232,307426.00,
500228,JSWSL       ,A ,Q,263.90,267.20,259.15,261.90,263.35,266.65,2087,204524,53784800.00,XD
500231,UMANG DAIR  ,B ,Q,51.00,51.00,48.50,50.00,50.00,50.40,14,478,23415.00,
500233,KAJARIA CER.,A ,Q,562.20,569.15,550.90,560.75,562.50,562.15,461,18299,10298258.00,
500234,KAKATIYA CEM,B ,Q,179.00,180.05,176.10,176.25,176.10,184.30,45,1065,189407.00,
500235,KALYANI STEL,B ,Q,202.00,206.00,196.55,200.55,203.30,203.85,245,5304,1066474.00,
500236,KANELIND    ,X ,Q,1.09,1.09,1.09,1.09,1.09,1.14,2,1100,1199.00,
500238,WHIRLPOOL   ,A ,Q,1600.00,1600.00,1522.00,1560.40,1580.00,1580.10,210,1547,2413092.00,
500239,KG DENIM    ,X ,Q,38.65,38.95,36.80,37.25,37.00,41.45,17,831,31791.00,
500240,KINETIC ENG.,X ,Q,39.80,40.50,37.70,39.70,40.10,35.75,414,35111,1384163.00,
500241,KIRL.BROS.  ,B ,Q,191.00,192.00,185.00,186.35,186.00,190.05,111,936,176027.00,
500243,KIRL INDUS  ,B ,Q,790.05,823.95,767.00,798.80,775.05,814.00,21,132,103935.00,
500245,KIRL.FERROUS,B ,Q,83.50,85.00,83.50,84.20,84.00,84.10,128,34587,2912742.00,
500247,KOTAK MAH.BK,A ,Q,1516.90,1516.90,1470.90,1475.50,1475.50,1517.60,2762,122146,180568167.00,
500249,KSB         ,B ,Q,700.00,712.50,695.00,699.90,699.90,717.80,21,390,275649.00,
500250,L.G.BALKRISH,B ,Q,327.00,334.20,322.00,328.45,332.50,334.65,88,900,292858.00,
500251,TRENT LTD.  ,A ,Q,439.00,439.00,415.00,427.20,427.20,439.55,926,17573,7494053.00,
500252,LAXMIMACH   ,A ,Q,5160.00,5160.00,4901.00,4933.70,4933.70,5113.65,277,1091,5469887.00,
500253,LIC HOUS.FIN,A ,Q,566.00,568.25,544.40,550.05,550.05,566.10,1173,67202,37545110.00,
500254,UTTAMVALUE  ,B ,Q,0.19,0.19,0.19,0.19,0.19,0.19,8,3037,577.00,
500257,LUPIN LTD.  ,A ,Q,731.70,740.45,724.40,733.75,735.15,735.60,1405,57735,42396420.00,
500259,LYKA LABS   ,B ,Q,21.90,21.90,20.30,20.45,20.40,21.20,47,6545,135370.00,
500260,RAMCOCEM    ,A ,Q,777.20,777.20,751.00,760.00,760.00,777.10,338,4910,3729901.00,
500264,MAFATLAL IND,X ,Q,89.00,89.00,87.05,87.10,87.05,89.70,9,150,13119.00,
500265,MAH.SEAMLESS,B ,Q,422.00,423.40,413.00,416.85,416.85,424.20,81,1112,465842.00,
500266,MAH.SCOOTER ,B ,Q,4451.00,4451.00,4159.35,4248.20,4283.35,4537.25,299,871,3708654.00,
500267,MAJESTIC AUT,X ,Q,165.15,167.80,158.00,159.70,158.80,167.30,162,12135,1966898.00,
500268,MANALI PETRO,B ,Q,22.95,23.10,22.55,22.70,22.90,23.00,103,13282,302363.00,
500271,MFSL        ,A ,Q,414.00,415.90,399.70,401.00,402.50,416.10,501,21416,8683933.00,
500279,MIRC ELECT  ,B ,Q,17.00,17.40,15.75,16.45,16.45,17.30,36,5531,91803.00,
500280,CENTURY ENKA,B ,Q,214.75,216.70,211.25,213.45,213.45,218.60,213,6843,1462276.00,
500284,LORDS CHLORO,XT,Q,37.00,37.00,35.15,35.20,35.20,37.00,26,4834,171205.00,
500285,SPICEJET LTD,A ,Q,121.00,121.00,116.10,117.05,117.05,121.80,7479,964383,114164932.00,
500288,MOREPEN LAB.,B ,Q,18.00,18.00,17.10,17.20,17.20,17.95,418,120306,2088906.00,
500290,MRF LTD.    ,A ,Q,55950.00,55950.00,54393.35,54830.50,54500.00,55944.85,357,631,34597912.00,
500292,HEIDEL CEM  ,A ,Q,198.00,198.00,188.05,189.60,189.95,198.70,568,29694,5651001.00,
500294,NCC         ,A ,Q,95.40,96.10,92.30,93.50,93.50,95.60,2320,806836,75632265.00,
500295,VEDL        ,A ,Q,164.10,165.20,161.00,161.95,161.95,163.55,2735,428336,69657663.00,
500296,NAHAR SPG.  ,B ,Q,69.00,69.00,64.50,65.00,65.00,71.30,115,11553,763882.00,
500298,NAT.PEROXIDE,B ,Q,1910.00,1920.00,1853.85,1873.75,1879.00,1903.70,664,3899,7332979.00,
500300,GRASIM IND. ,A ,Q,924.95,924.95,878.65,887.50,887.50,925.05,3266,197538,175980700.00,
500302,PEL         ,A ,Q,1973.50,2017.40,1904.45,1920.00,1920.00,1993.55,4482,102166,200462639.00,
500304,NIIT LTD.   ,B ,Q,101.70,102.75,100.10,100.50,100.40,101.70,324,32874,3324899.00,
500306,JAYKAY      ,X ,Q,4.35,4.60,4.30,4.60,4.60,4.45,8,345,1490.00,
500307,NIRLON      ,B ,Q,200.00,200.00,190.00,197.20,197.00,200.00,15,1246,244668.00,
500312,ONGC CORPN  ,A ,Q,161.00,161.20,151.15,152.50,152.50,161.25,3005,466345,71958196.00,
500313,OIL COUNTRY ,B ,Q,7.90,7.90,7.21,7.35,7.50,7.95,10,2400,17721.00,
500314,ORIENT HOTEL,B ,Q,38.80,38.80,37.05,37.95,37.95,38.85,14,793,30184.00,
500315,ORINTAL BANK,A ,Q,93.60,93.60,89.25,89.80,89.80,93.60,1935,970367,87667252.00,
500317,OSWAL AGRO. ,B ,Q,6.83,6.83,6.30,6.80,6.80,6.57,13,263,1695.00,
500319,INDIAN SUCRO,XT,Q,19.20,19.20,19.00,19.00,19.00,18.45,2,55,1046.00,
500325,RELIANCE    ,A ,Q,1261.00,1267.70,1248.05,1251.90,1251.90,1262.60,10400,348852,438267331.00,
500327,PILITA      ,B ,Q,8.80,9.50,8.31,8.62,8.31,9.02,129,82065,745067.00,
500329,PENTAMED.G  ,X ,Q,0.26,0.27,0.26,0.26,0.26,0.27,15,26929,7019.00,
500330,RAYMOND     ,A ,Q,728.00,728.00,702.65,712.70,717.00,728.15,995,30754,21875671.00,
500331,PIDILITE    ,A ,Q,1207.00,1209.90,1188.00,1201.30,1199.50,1206.20,1069,19957,23882484.00,
500333,PIX TRANS   ,X ,Q,179.80,179.80,173.05,174.30,173.05,178.20,38,1222,214010.00,
500335,BIRLA CORPN.,A ,Q,596.00,596.00,574.00,585.05,593.90,594.25,268,3181,1851622.00,
500336,SURYA ROSHNI,B ,Q,221.20,223.95,213.45,217.70,216.05,223.00,359,13524,2980757.00,
500337,PRIME SECUR.,B ,Q,38.00,38.40,36.00,38.25,36.55,37.60,114,13108,489074.00,
500338,PRSMJOHNSN  ,A ,Q,91.90,93.30,89.35,92.50,92.50,91.90,239,15297,1390696.00,
500339,RAIN        ,A ,Q,97.05,99.30,95.80,97.05,97.75,98.80,883,75388,7329511.00,
500343,AMJLAND     ,B ,Q,17.60,17.85,17.45,17.85,17.85,18.00,7,957,16902.00,
500346,PUN.COMMUNI.,B ,Q,14.00,14.00,14.00,14.00,14.00,14.90,7,352,4928.00,
500350,RSWM  LTD   ,B ,Q,146.70,146.70,135.35,143.45,142.10,148.45,204,4245,599525.00,
500354,RAJSH.SUGAR ,T ,Q,23.00,23.10,22.75,22.75,22.75,23.90,11,1401,31906.00,
500355,RALLIS INDIA,A ,Q,154.15,154.60,150.10,153.35,154.60,154.90,379,7804,1183066.00,
500356,RAMANEWS    ,B ,Q,18.65,18.65,18.15,18.20,18.20,19.20,6,210,3851.00,
500357,RAMA PAPER  ,X ,Q,14.55,14.55,12.80,13.45,13.05,14.95,12,4416,62524.00,
500360,RAPICUT CARB,X ,Q,41.90,41.90,40.10,40.15,40.15,41.75,7,1322,54820.00,
500365,RMGALLOY    ,X ,Q,13.00,13.00,11.60,11.73,11.60,13.16,126,104254,1245417.00,
500366,ROLTA (I)   ,B ,Q,5.64,5.65,5.37,5.51,5.49,5.64,73,23134,128697.00,
500367,RUBFILA INT.,X ,Q,38.05,38.60,37.15,37.95,37.95,39.65,66,19022,720797.00,
500368,RUCHI SOYA  ,B ,Q,4.90,4.90,4.53,4.63,4.58,4.76,319,323953,1481175.00,
500378,JINDAL SAW  ,A ,Q,80.50,80.50,78.00,78.55,79.00,81.85,584,69858,5511078.00,
500380,JK LAKSHMI  ,A ,Q,338.00,338.00,328.00,332.00,334.35,339.05,341,3342,1105235.00,
500387,SHREE CEMENT,A ,Q,21144.80,21245.00,20780.00,20813.35,20900.00,21394.05,121,317,6647393.00,
500388,SHREE KRISHN,XT,Q,30.00,30.00,30.00,30.00,30.00,30.00,3,1349,40470.00,
500390,REL INFRA   ,A ,Q,51.80,52.35,49.50,49.95,49.95,51.10,9503,3377750,171116621.00,
500399,STEELCO GUJ.,XT,Q,3.08,3.08,3.08,3.08,3.08,3.14,3,180,554.00,
500400,TATA POWER  ,A ,Q,70.45,70.45,67.35,68.35,68.35,70.65,1289,414888,28401673.00,
500402,SPMLINFRA   ,B ,Q,17.45,17.45,17.45,17.45,17.45,18.25,1,50,872.00,
500403,SUNDARAM FAS,A ,Q,506.00,519.95,485.05,490.90,489.25,510.05,650,12221,6076345.00,
500404,SUNFLAG IRON,B ,Q,35.00,35.00,34.00,34.25,34.20,35.30,62,4441,152760.00,
500405,SUPREME PET ,B ,Q,196.60,201.50,195.00,195.95,195.10,201.40,40,1174,233809.00,XD
500407,SWARAJ ENGIN,B ,Q,1377.70,1406.00,1377.70,1397.90,1397.90,1400.10,28,373,516584.00,
500408,TATA ELXSI  ,A ,Q,880.00,880.00,848.45,856.05,856.05,891.00,1391,32736,28039670.00,XD
500410,ACC LTD     ,A ,Q,1549.80,1549.80,1497.00,1500.00,1508.95,1545.90,1058,17607,26696069.00,
500411,THERMAX     ,A ,Q,1042.15,1042.15,1008.65,1020.80,1020.80,1044.95,509,2674,2729437.00,
500412,THIRUMALAI  ,B ,Q,77.05,77.05,74.05,74.95,74.95,78.90,330,30486,2308082.00,
500413,THOMAS COOK ,A ,Q,196.00,196.00,186.50,188.35,189.70,195.50,613,18360,3464221.00,
500414,TIMEX GROUP ,X ,Q,39.50,41.95,37.30,37.60,37.60,41.60,222,52694,2035675.00,
500418,TOKYO PLAST ,B ,Q,44.00,58.95,44.00,48.90,48.05,50.35,37,196,9597.00,
500420,TORRENT PHAR,A ,Q,1523.95,1537.90,1500.00,1527.80,1537.90,1524.05,348,4303,6553174.00,
500422,TRANSCHEM   ,X ,Q,18.00,18.00,15.50,16.10,16.00,18.00,15,753,12630.00,
500425,AMBUJA CEME ,A ,Q,209.00,209.00,204.00,205.40,205.40,210.15,1219,90102,18588840.00,
500426,UTLINDS     ,X ,Q,8.60,8.60,8.22,8.22,8.22,8.22,17,16702,140340.00,
500429,UNIPHOS ENT.,B ,Q,84.95,84.95,77.80,80.05,81.15,84.00,55,1881,150016.00,
500439,VARD HOLDNG ,B ,Q,2065.00,2065.00,1889.00,1889.00,1889.00,1902.00,5,5,9643.00,
500440,HINDALCO    ,A ,Q,198.00,200.35,195.05,197.60,198.15,198.90,2544,905345,180183787.00,
500444,WEST COAS PA,B ,Q,239.70,239.70,228.50,231.80,231.80,238.90,430,8691,2035871.00,
500449,HIND.ORG.CHM,B ,Q,21.00,21.00,19.35,19.80,19.80,21.05,232,40107,794195.00,
500456,PAS.ACRYLON ,X ,Q,16.00,16.00,15.50,15.60,15.70,16.05,51,19908,314240.00,
500459,PROCTER &GAM,A ,Q,10911.00,10957.00,10673.65,10903.45,10911.00,10859.05,136,252,2738303.00,
500460,MUKAND LTD. ,B ,Q,44.00,44.95,42.15,42.85,42.85,44.35,35,2226,96132.00,
500463,AGCNET      ,B ,Q,108.05,117.25,108.05,115.70,115.70,111.25,7,220,24234.00,
500464,UCAL FUEL   ,B ,Q,137.10,139.90,137.10,138.85,138.85,141.00,19,278,38628.00,
500467,HARR.MALAYAL,B ,Q,69.00,69.30,68.00,68.25,68.30,71.00,46,1930,132266.00,
500469,FEDERAL BANK,A ,Q,106.85,106.90,104.20,105.15,104.85,107.20,1132,430030,45299175.00,
500470,TATA STEEL  ,A ,Q,475.00,479.20,465.50,468.00,468.00,478.15,9439,631233,297796625.00,
500472,SKF INDIA   ,A ,Q,2001.00,2001.00,1945.80,1957.85,1966.95,2001.00,83,328,644682.00,
500477,ASHOK LEYL. ,A ,Q,86.00,86.20,83.75,84.65,85.45,87.00,3243,900358,76195851.00,
500480,CUMMINS (I) ,A ,Q,730.00,763.35,720.55,752.70,762.65,736.65,781,22976,16992633.00,
500483,TATA COMM   ,A ,Q,461.00,464.60,450.15,454.00,455.90,462.10,132,3613,1654372.00,
500488,ABBOTT (I)  ,A ,Q,8817.25,8820.00,8600.00,8669.05,8640.00,8880.75,140,338,2938844.00,
500490,BAJ HOLD INV,A ,Q,3575.00,3648.80,3459.60,3502.20,3524.35,3607.45,686,2270,8022593.00,
500493,BHARAT FORGE,A ,Q,460.00,460.75,444.50,449.10,449.10,458.05,1238,66209,29840979.00,
500495,ESCORTS LTD.,A ,Q,528.50,530.40,514.80,521.25,521.25,541.60,2963,202605,105673515.00,
500500,HIND.MOTORS ,B ,Q,6.70,6.90,6.56,6.86,6.72,6.72,88,25532,173338.00,
500510,LARSEN & TOU,A ,Q,1554.80,1554.80,1465.00,1490.20,1490.20,1557.10,12377,271726,406290466.00,
500520,MAH & MAH   ,A ,Q,641.00,645.00,625.20,635.10,635.10,642.30,3187,128933,82285636.00,
500530,BOSCH LTD   ,A ,Q,16450.00,16450.00,15915.00,15971.40,15971.40,16506.45,352,908,14627932.00,
500540,PREMIER LTD ,T ,Q,4.20,4.20,4.20,4.20,4.20,4.05,2,505,2121.00,
500547,BHARAT PET. ,A ,Q,368.10,368.10,356.50,360.90,360.90,369.65,2346,212760,76992221.00,
500550,SIEMENS LTD.,A ,Q,1265.00,1283.00,1232.25,1248.35,1248.35,1260.50,1907,43556,54629568.00,
500570,TATA MOTORS ,A ,Q,159.60,159.60,153.50,154.65,154.65,160.15,6208,1027817,159607449.00,
500575,VOLTAS LTD  ,A ,Q,615.00,615.00,599.60,603.30,603.30,615.65,685,32505,19649390.00,
500620,GREAT EASTE ,A ,Q,265.00,265.00,252.05,253.20,253.10,268.20,146,2460,630531.00,
500645,DEEPAK FERT.,A ,Q,112.90,113.00,105.95,106.60,107.20,112.90,721,36009,3900406.00,
500650,EXCEL INDUST,B ,Q,932.90,933.90,895.00,920.95,918.60,937.65,175,1864,1710758.00,
500655,GARWARE POLY,X ,Q,235.10,240.35,224.80,227.00,228.50,236.60,114,8318,1901338.00,
